client_id,anciennete_mois,type_contrat,montant_mensuel,methode_paiement,reclamations,churn
SEN-1107,8,Mensuel,23100.0,Carte Bdf,2,Oui
SEN-1108,18,2 ans,44400.0,Wave,2,Non
SEN-1109,12,Mensuel,5000.0,Wave,4,Oui
SEN-1110,12,Mensuel,29600.0,Wave,3,Oui
SEN-1111,4,1 an,29700.0,Orange Money,2,Oui
SEN-1112,16,Mensuel,23300.0,Carte Bdf,4,Oui
SEN-1113,4,Mensuel,20900.0,Carte Bdf,4,Oui
SEN-1114,46,2 ans,23200.0,Orange Money,1,Non
SEN-1115,13,1 an,21600.0,Carte Bdf,1,Non
SEN-1116,38,2 ans,34200.0,Wave,2,Non
SEN-1117,10,Mensuel,10400.0,Carte Bdf,3,Oui
SEN-1118,17,Mensuel,12900.0,Orange Money,2,Oui
SEN-1119,29,2 ans,12200.0,Wave,2,Non
SEN-1120,14,Mensuel,15500.0,Orange Money,5,Oui
SEN-1121,31,1 an,26000.0,Prélèvement,2,Non
SEN-1122,9,Mensuel,9400.0,Wave,2,Oui
SEN-1123,21,1 an,39700.0,Wave,2,Non
SEN-1124,36,Mensuel,16900.0,Carte Bdf,1,Non
SEN-1125,14,Mensuel,11500.0,Wave,5,Oui
SEN-1126,5,1 an,32000.0,Orange Money,4,Oui
SEN-1127,65,1 an,6500.0,Carte Bdf,2,Non
SEN-1128,4,Mensuel,29800.0,Prélèvement,3,Oui
SEN-1129,1,Mensuel,32900.0,Orange Money,3,Oui
SEN-1130,8,1 an,13600.0,Prélèvement,5,Oui
SEN-1131,15,Mensuel,6700.0,Prélèvement,2,Oui
SEN-1132,12,1 an,19500.0,Prélèvement,0,Non
SEN-1133,9,Mensuel,8900.0,Wave,2,Oui
SEN-1134,9,Mensuel,9700.0,Orange Money,5,Oui
SEN-1135,65,1 an,15200.0,Orange Money,0,Non
SEN-1136,57,1 an,16800.0,Wave,1,Non
SEN-1137,63,Mensuel,26200.0,Carte Bdf,0,Non
SEN-1138,14,1 an,32100.0,Prélèvement,2,Non
SEN-1139,46,Mensuel,28700.0,Orange Money,2,Non
SEN-1140,52,2 ans,10900.0,Wave,2,Non
SEN-1141,17,2 ans,11900.0,Prélèvement,2,Non
SEN-1142,2,Mensuel,40200.0,Carte Bdf,5,Oui
SEN-1143,24,2 ans,27300.0,Carte Bdf,1,Non
SEN-1144,11,Mensuel,39800.0,Prélèvement,2,Oui
SEN-1145,12,Mensuel,19900.0,Carte Bdf,5,Oui
SEN-1146,7,Mensuel,29600.0,Orange Money,2,Oui
SEN-1147,32,1 an,25900.0,Orange Money,2,Non
SEN-1148,1,Mensuel,17800.0,Orange Money,5,Oui
SEN-1149,15,Mensuel,23800.0,Carte Bdf,2,Non
SEN-1150,11,Mensuel,25100.0,Orange Money,5,Oui
SEN-1151,26,Mensuel,13000.0,Wave,1,Non
SEN-1152,7,Mensuel,17600.0,Orange Money,5,Oui
SEN-1153,56,2 ans,36700.0,Orange Money,1,Non
SEN-1154,9,Mensuel,41600.0,Carte Bdf,3,Oui
SEN-1155,23,1 an,19400.0,Orange Money,1,Non
SEN-1156,43,1 an,17300.0,Prélèvement,1,Non
SEN-1157,17,Mensuel,12800.0,Wave,2,Oui
SEN-1158,39,1 an,32100.0,Carte Bdf,0,Non
SEN-1159,1,Mensuel,17900.0,Wave,3,Oui
SEN-1160,13,Mensuel,44500.0,Prélèvement,3,Oui
SEN-1161,17,Mensuel,18000.0,Carte Bdf,2,Oui
SEN-1162,13,1 an,20800.0,Carte Bdf,5,Oui
SEN-1163,16,Mensuel,29100.0,Orange Money,5,Oui
SEN-1164,8,Mensuel,37100.0,Wave,5,Oui
SEN-1165,1,Mensuel,23800.0,Prélèvement,4,Oui
SEN-1166,17,Mensuel,21900.0,Prélèvement,2,Non
SEN-1167,15,Mensuel,44800.0,Carte Bdf,4,Oui
SEN-1168,40,1 an,5400.0,Orange Money,2,Non
SEN-1169,54,1 an,40800.0,Carte Bdf,1,Non
SEN-1170,13,1 an,11000.0,Carte Bdf,1,Non
SEN-1171,71,1 an,36400.0,Carte Bdf,0,Non
SEN-1172,34,1 an,29700.0,Carte Bdf,2,Non
SEN-1173,8,Mensuel,18700.0,Prélèvement,5,Oui
SEN-1174,42,2 ans,40000.0,Prélèvement,0,Non
SEN-1175,62,Mensuel,5500.0,Carte Bdf,0,Non
SEN-1176,16,1 an,14100.0,Carte Bdf,1,Non
SEN-1177,30,2 ans,27700.0,Orange Money,1,Non
SEN-1178,14,Mensuel,19100.0,Carte Bdf,4,Oui
SEN-1179,2,1 an,29400.0,Prélèvement,3,Oui
SEN-1180,36,1 an,6000.0,Wave,1,Non
SEN-1181,7,Mensuel,9700.0,Prélèvement,2,Oui
SEN-1182,22,Mensuel,10100.0,Orange Money,2,Non
SEN-1183,1,Mensuel,12600.0,Prélèvement,5,Oui
SEN-1184,3,Mensuel,23400.0,Wave,5,Oui
SEN-1185,67,1 an,35100.0,Carte Bdf,0,Non
SEN-1186,26,2 ans,41200.0,Wave,2,Non
SEN-1187,20,2 ans,38400.0,Carte Bdf,2,Non
SEN-1188,3,Mensuel,12900.0,Carte Bdf,2,Oui
SEN-1189,1,Mensuel,22600.0,Prélèvement,4,Oui
SEN-1190,15,Mensuel,13000.0,Prélèvement,3,Oui
SEN-1191,8,Mensuel,15600.0,Prélèvement,4,Oui
SEN-1192,2,Mensuel,25100.0,Orange Money,3,Oui
SEN-1193,20,1 an,7700.0,Prélèvement,0,Non
SEN-1194,39,1 an,13700.0,Orange Money,1,Non
SEN-1195,57,Mensuel,42400.0,Prélèvement,0,Non
SEN-1196,62,1 an,23600.0,Carte Bdf,1,Non
SEN-1197,18,2 ans,22800.0,Orange Money,1,Non
SEN-1198,4,Mensuel,5600.0,Wave,2,Oui
SEN-1199,27,2 ans,14900.0,Orange Money,2,Non
SEN-1200,71,2 ans,39700.0,Orange Money,2,Non
SEN-1201,16,Mensuel,11600.0,Wave,2,Oui
SEN-1202,7,Mensuel,21600.0,Orange Money,3,Oui
SEN-1203,10,Mensuel,5600.0,Carte Bdf,5,Oui
SEN-1204,7,Mensuel,24100.0,Prélèvement,5,Oui
SEN-1205,1,1 an,5800.0,Wave,5,Oui
SEN-1206,28,2 ans,37800.0,Prélèvement,1,Non
SEN-1207,4,Mensuel,38000.0,Carte Bdf,4,Oui
SEN-1208,50,1 an,36500.0,Wave,2,Non
SEN-1209,1,Mensuel,16300.0,Prélèvement,4,Oui
SEN-1210,63,2 ans,38500.0,Prélèvement,2,Non
SEN-1211,40,2 ans,26700.0,Carte Bdf,1,Non
SEN-1212,11,1 an,20000.0,Prélèvement,2,Oui
SEN-1213,10,Mensuel,30000.0,Carte Bdf,2,Oui
SEN-1214,2,Mensuel,5500.0,Orange Money,3,Oui
SEN-1215,49,1 an,10700.0,Carte Bdf,2,Non
SEN-1216,12,Mensuel,34700.0,Orange Money,5,Oui
SEN-1217,61,2 ans,14800.0,Wave,2,Non
SEN-1218,5,Mensuel,28900.0,Prélèvement,4,Oui
SEN-1219,6,1 an,20400.0,Carte Bdf,2,Oui
SEN-1220,46,2 ans,39200.0,Carte Bdf,1,Non
SEN-1221,2,Mensuel,43100.0,Prélèvement,2,Oui
SEN-1222,12,Mensuel,40300.0,Prélèvement,3,Oui
SEN-1223,39,2 ans,15800.0,Wave,0,Non
SEN-1224,12,Mensuel,12800.0,Wave,2,Oui
SEN-1225,25,2 ans,24000.0,Carte Bdf,1,Non
SEN-1226,10,Mensuel,5300.0,Wave,5,Oui
SEN-1227,48,Mensuel,6000.0,Orange Money,2,Non
SEN-1228,17,Mensuel,27100.0,Wave,3,Oui
SEN-1229,17,Mensuel,25800.0,Wave,2,Oui
SEN-1230,66,1 an,44800.0,Carte Bdf,2,Non
SEN-1231,9,1 an,13100.0,Orange Money,2,Oui
SEN-1232,38,2 ans,15300.0,Wave,1,Non
SEN-1233,2,Mensuel,9500.0,Orange Money,2,Oui
SEN-1234,65,2 ans,41700.0,Orange Money,0,Non
SEN-1235,49,2 ans,36100.0,Orange Money,0,Non
SEN-1236,26,2 ans,37900.0,Prélèvement,0,Non
SEN-1237,11,Mensuel,41100.0,Prélèvement,4,Oui
SEN-1238,21,1 an,26000.0,Prélèvement,0,Non
SEN-1239,34,1 an,23000.0,Prélèvement,0,Non
SEN-1240,69,2 ans,18200.0,Carte Bdf,1,Non
SEN-1241,67,1 an,28600.0,Wave,0,Non
SEN-1242,5,1 an,23200.0,Prélèvement,4,Oui
SEN-1243,11,Mensuel,23100.0,Carte Bdf,2,Oui
SEN-1244,12,2 ans,42500.0,Wave,1,Non
SEN-1245,24,2 ans,44400.0,Prélèvement,2,Non
SEN-1246,32,2 ans,36900.0,Wave,0,Non
SEN-1247,37,2 ans,35300.0,Prélèvement,0,Non
SEN-1248,61,2 ans,32200.0,Carte Bdf,0,Non
SEN-1249,56,2 ans,11600.0,Orange Money,0,Non
SEN-1250,32,2 ans,7400.0,Orange Money,2,Non
SEN-1251,5,Mensuel,32600.0,Wave,5,Oui
SEN-1252,6,Mensuel,34200.0,Carte Bdf,4,Oui
SEN-1253,12,Mensuel,6900.0,Orange Money,3,Oui
SEN-1254,56,1 an,42100.0,Prélèvement,0,Non
SEN-1255,43,1 an,8600.0,Orange Money,0,Non
SEN-1256,8,Mensuel,16400.0,Wave,3,Oui
SEN-1257,2,Mensuel,31900.0,Wave,3,Oui
SEN-1258,12,1 an,11800.0,Carte Bdf,3,Oui
SEN-1259,60,2 ans,7200.0,Wave,0,Non
SEN-1260,7,1 an,18200.0,Orange Money,3,Oui
SEN-1261,22,1 an,35600.0,Orange Money,0,Non
SEN-1262,32,Mensuel,21500.0,Orange Money,0,Non
SEN-1263,63,Mensuel,31100.0,Orange Money,2,Non
SEN-1264,66,1 an,28200.0,Carte Bdf,1,Non
SEN-1265,2,1 an,5900.0,Prélèvement,4,Oui
SEN-1266,11,Mensuel,44500.0,Prélèvement,5,Oui
SEN-1267,15,2 ans,6700.0,Carte Bdf,0,Non
SEN-1268,4,Mensuel,43700.0,Wave,5,Oui
SEN-1269,63,1 an,27000.0,Prélèvement,1,Non
SEN-1270,59,Mensuel,43500.0,Wave,2,Non
SEN-1271,71,1 an,9600.0,Prélèvement,0,Non
SEN-1272,4,Mensuel,24600.0,Wave,2,Oui
SEN-1273,51,2 ans,11800.0,Carte Bdf,0,Non
SEN-1274,7,Mensuel,7000.0,Orange Money,4,Oui
SEN-1275,52,1 an,29700.0,Wave,2,Non
SEN-1276,40,1 an,13300.0,Orange Money,0,Non
SEN-1277,2,1 an,28500.0,Wave,5,Oui
SEN-1278,40,2 ans,9500.0,Wave,1,Non
SEN-1279,5,Mensuel,18300.0,Wave,2,Oui
SEN-1280,1,Mensuel,36300.0,Wave,5,Oui
SEN-1281,4,Mensuel,22500.0,Wave,5,Oui
SEN-1282,53,1 an,30100.0,Orange Money,1,Non
SEN-1283,24,1 an,30900.0,Wave,0,Non
SEN-1284,60,2 ans,38800.0,Orange Money,2,Non
SEN-1285,17,1 an,18000.0,Carte Bdf,3,Oui
SEN-1286,28,1 an,32500.0,Prélèvement,1,Non
SEN-1287,67,2 ans,43500.0,Wave,0,Non
SEN-1288,20,2 ans,34200.0,Prélèvement,2,Non
SEN-1289,9,Mensuel,24600.0,Orange Money,2,Oui
SEN-1290,2,Mensuel,30200.0,Carte Bdf,3,Oui
SEN-1291,9,Mensuel,34600.0,Carte Bdf,5,Oui
SEN-1292,9,Mensuel,29500.0,Carte Bdf,2,Oui
SEN-1293,59,1 an,5700.0,Prélèvement,2,Non
SEN-1294,40,2 ans,12800.0,Orange Money,1,Non
SEN-1295,44,1 an,37400.0,Wave,1,Non
SEN-1296,11,Mensuel,15900.0,Wave,3,Oui
SEN-1297,61,2 ans,34300.0,Orange Money,0,Non
SEN-1298,69,1 an,19900.0,Prélèvement,0,Non
SEN-1299,71,2 ans,25900.0,Wave,1,Non
SEN-1300,3,Mensuel,7700.0,Orange Money,3,Oui
SEN-1301,32,2 ans,12200.0,Wave,0,Non
SEN-1302,39,2 ans,43300.0,Carte Bdf,2,Non
SEN-1303,22,Mensuel,40600.0,Wave,2,Non
SEN-1304,12,Mensuel,31100.0,Prélèvement,2,Oui
SEN-1305,6,Mensuel,23400.0,Orange Money,3,Oui
SEN-1306,19,Mensuel,32000.0,Prélèvement,1,Non
SEN-1307,12,Mensuel,29700.0,Orange Money,3,Oui
SEN-1308,5,Mensuel,27700.0,Carte Bdf,4,Oui
SEN-1309,12,Mensuel,7400.0,Orange Money,3,Oui
SEN-1310,17,Mensuel,30300.0,Wave,5,Oui
SEN-1311,17,Mensuel,35800.0,Wave,2,Oui
SEN-1312,10,Mensuel,44800.0,Carte Bdf,4,Oui
SEN-1313,17,Mensuel,5400.0,Orange Money,2,Oui
SEN-1314,34,1 an,34200.0,Carte Bdf,2,Non
SEN-1315,35,2 ans,27900.0,Wave,0,Non
SEN-1316,56,Mensuel,22400.0,Prélèvement,1,Non
SEN-1317,30,2 ans,10100.0,Carte Bdf,0,Non
SEN-1318,17,Mensuel,21400.0,Prélèvement,4,Oui
SEN-1319,43,Mensuel,19200.0,Prélèvement,2,Non
SEN-1320,55,1 an,17100.0,Orange Money,1,Non
SEN-1321,12,1 an,34200.0,Carte Bdf,2,Non
SEN-1322,34,2 ans,33000.0,Prélèvement,0,Non
SEN-1323,12,Mensuel,28600.0,Prélèvement,2,Oui
SEN-1324,15,Mensuel,42500.0,Orange Money,5,Oui
SEN-1325,9,Mensuel,19000.0,Orange Money,5,Oui
SEN-1326,19,2 ans,14800.0,Wave,0,Non
SEN-1327,68,1 an,31200.0,Prélèvement,2,Non
SEN-1328,10,Mensuel,13000.0,Wave,4,Oui
SEN-1329,54,2 ans,17600.0,Prélèvement,1,Non
SEN-1330,7,1 an,14000.0,Wave,5,Oui
SEN-1331,56,2 ans,7800.0,Orange Money,1,Non
SEN-1332,7,Mensuel,38100.0,Carte Bdf,2,Oui
SEN-1333,14,Mensuel,15200.0,Orange Money,3,Oui
SEN-1334,46,2 ans,23900.0,Wave,2,Non
SEN-1335,35,Mensuel,6700.0,Wave,0,Non
SEN-1336,9,Mensuel,33000.0,Carte Bdf,3,Oui
SEN-1337,16,Mensuel,18200.0,Prélèvement,5,Oui
SEN-1338,8,Mensuel,34800.0,Wave,3,Oui
SEN-1339,7,Mensuel,21500.0,Wave,5,Oui
SEN-1340,51,2 ans,12800.0,Wave,2,Non
SEN-1341,69,1 an,25500.0,Carte Bdf,1,Non
SEN-1342,42,1 an,10200.0,Orange Money,2,Non
SEN-1343,57,2 ans,22600.0,Wave,1,Non
SEN-1344,47,2 ans,17700.0,Carte Bdf,0,Non
SEN-1345,22,1 an,41500.0,Wave,2,Non
SEN-1346,12,Mensuel,7400.0,Prélèvement,3,Oui
SEN-1347,13,Mensuel,32800.0,Carte Bdf,4,Oui
SEN-1348,30,Mensuel,12300.0,Wave,1,Non
SEN-1349,3,Mensuel,17800.0,Carte Bdf,3,Oui
SEN-1350,62,1 an,21600.0,Wave,1,Non
SEN-1351,39,2 ans,41300.0,Orange Money,0,Non
SEN-1352,8,Mensuel,14700.0,Wave,4,Oui
SEN-1353,54,2 ans,8700.0,Carte Bdf,0,Non
SEN-1354,69,2 ans,17700.0,Prélèvement,1,Non
SEN-1355,16,2 ans,9200.0,Prélèvement,0,Non
SEN-1356,16,Mensuel,10100.0,Prélèvement,1,Non
SEN-1357,41,1 an,28000.0,Wave,1,Non
SEN-1358,65,1 an,7400.0,Orange Money,1,Non
SEN-1359,43,1 an,6200.0,Wave,2,Non
SEN-1360,19,2 ans,33600.0,Prélèvement,2,Non
SEN-1361,13,Mensuel,19500.0,Carte Bdf,4,Oui
SEN-1362,49,1 an,10000.0,Prélèvement,0,Non
SEN-1363,58,1 an,15100.0,Carte Bdf,0,Non
SEN-1364,43,2 ans,30700.0,Orange Money,2,Non
SEN-1365,59,1 an,16000.0,Carte Bdf,1,Non
SEN-1366,10,1 an,24800.0,Wave,5,Oui
SEN-1367,28,1 an,9900.0,Wave,1,Non
SEN-1368,42,Mensuel,28500.0,Wave,0,Non
SEN-1369,13,Mensuel,17600.0,Carte Bdf,3,Oui
SEN-1370,51,Mensuel,30100.0,Wave,1,Non
SEN-1371,7,Mensuel,37300.0,Wave,4,Oui
SEN-1372,20,1 an,29500.0,Wave,0,Non
SEN-1373,13,2 ans,16800.0,Orange Money,0,Non
SEN-1374,26,Mensuel,15200.0,Carte Bdf,0,Non
SEN-1375,16,1 an,18100.0,Carte Bdf,2,Oui
SEN-1376,14,Mensuel,11600.0,Prélèvement,2,Non
SEN-1377,60,Mensuel,12200.0,Carte Bdf,2,Non
SEN-1378,10,Mensuel,36600.0,Orange Money,5,Oui
SEN-1379,7,Mensuel,20400.0,Carte Bdf,3,Oui
SEN-1380,25,1 an,22400.0,Orange Money,0,Non
SEN-1381,52,Mensuel,28800.0,Orange Money,2,Non
SEN-1382,17,Mensuel,28600.0,Carte Bdf,2,Oui
SEN-1383,36,1 an,7700.0,Prélèvement,0,Non
SEN-1384,69,1 an,38300.0,Wave,2,Non
SEN-1385,14,1 an,12100.0,Wave,3,Oui
SEN-1386,4,Mensuel,33900.0,Carte Bdf,4,Oui
SEN-1387,21,Mensuel,35900.0,Carte Bdf,1,Non
SEN-1388,16,1 an,33600.0,Orange Money,2,Oui
SEN-1389,1,Mensuel,28200.0,Carte Bdf,5,Oui
SEN-1390,23,Mensuel,5600.0,Orange Money,2,Non
SEN-1391,38,2 ans,19400.0,Prélèvement,1,Non
SEN-1392,9,Mensuel,29200.0,Carte Bdf,3,Oui
SEN-1393,13,Mensuel,20500.0,Wave,1,Non
SEN-1394,17,Mensuel,39500.0,Wave,4,Oui
SEN-1395,24,2 ans,17400.0,Carte Bdf,1,Non
SEN-1396,64,2 ans,16700.0,Orange Money,0,Non
SEN-1397,43,Mensuel,15600.0,Wave,1,Non
SEN-1398,5,Mensuel,18300.0,Orange Money,5,Oui
SEN-1399,11,Mensuel,27300.0,Carte Bdf,2,Oui
SEN-1400,43,1 an,33300.0,Carte Bdf,1,Non
SEN-1401,43,1 an,31500.0,Wave,1,Non
SEN-1402,14,Mensuel,37300.0,Carte Bdf,4,Oui
SEN-1403,11,1 an,40400.0,Prélèvement,4,Oui
SEN-1404,13,Mensuel,37600.0,Prélèvement,5,Oui
SEN-1405,2,Mensuel,5800.0,Wave,5,Oui
SEN-1406,7,Mensuel,34400.0,Prélèvement,4,Oui
SEN-1407,28,1 an,13300.0,Orange Money,1,Non
SEN-1408,51,2 ans,10300.0,Wave,2,Non
SEN-1409,13,Mensuel,30500.0,Wave,5,Oui
SEN-1410,14,Mensuel,17800.0,Orange Money,5,Oui
SEN-1411,10,Mensuel,7300.0,Prélèvement,3,Oui
SEN-1412,11,Mensuel,10500.0,Prélèvement,4,Oui
SEN-1413,51,1 an,5000.0,Prélèvement,2,Non
SEN-1414,9,Mensuel,41100.0,Wave,4,Oui
SEN-1415,17,Mensuel,6000.0,Wave,5,Oui
SEN-1416,3,Mensuel,13400.0,Prélèvement,3,Oui
SEN-1417,6,Mensuel,21700.0,Carte Bdf,3,Oui
SEN-1418,5,Mensuel,19300.0,Prélèvement,2,Oui
SEN-1419,61,1 an,41500.0,Orange Money,2,Non
SEN-1420,33,2 ans,6600.0,Wave,1,Non
SEN-1421,17,Mensuel,25500.0,Orange Money,2,Oui
SEN-1422,41,Mensuel,32200.0,Orange Money,0,Non
SEN-1423,3,Mensuel,42300.0,Wave,4,Oui
SEN-1424,32,1 an,29800.0,Carte Bdf,1,Non
SEN-1425,55,2 ans,37200.0,Prélèvement,2,Non
SEN-1426,43,1 an,8300.0,Orange Money,1,Non
SEN-1427,62,2 ans,20400.0,Wave,0,Non
SEN-1428,3,Mensuel,20000.0,Orange Money,5,Oui
SEN-1429,60,Mensuel,40500.0,Prélèvement,2,Non
SEN-1430,67,2 ans,11100.0,Carte Bdf,1,Non
SEN-1431,32,Mensuel,11100.0,Carte Bdf,1,Non
SEN-1432,46,2 ans,18100.0,Carte Bdf,1,Non
SEN-1433,69,1 an,7200.0,Wave,2,Non
SEN-1434,43,1 an,12300.0,Wave,1,Non
SEN-1435,41,2 ans,43600.0,Carte Bdf,0,Non
SEN-1436,66,2 ans,22100.0,Prélèvement,1,Non
SEN-1437,50,2 ans,30300.0,Prélèvement,1,Non
SEN-1438,11,Mensuel,34000.0,Wave,2,Oui
SEN-1439,9,Mensuel,19700.0,Carte Bdf,2,Oui
SEN-1440,52,1 an,10900.0,Prélèvement,2,Non
SEN-1441,9,1 an,13300.0,Prélèvement,3,Oui
SEN-1442,3,Mensuel,17500.0,Prélèvement,2,Oui
SEN-1443,2,Mensuel,30400.0,Wave,3,Oui
SEN-1444,12,Mensuel,20900.0,Carte Bdf,4,Oui
SEN-1445,10,1 an,5300.0,Orange Money,2,Oui
SEN-1446,9,Mensuel,25900.0,Carte Bdf,5,Oui
SEN-1447,57,Mensuel,41900.0,Carte Bdf,1,Non
SEN-1448,8,Mensuel,37500.0,Wave,4,Oui
SEN-1449,5,Mensuel,38000.0,Prélèvement,4,Oui
